;Keywords;Answer
617;['Ежемесячное', 'Какие', 'услуге'];Паспорт гражданина РФ или временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено).
618;['Ежемесячное', 'Какие', 'услуге'];1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность
619;['Ежемесячное', 'Какие', 'услуге'];Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская» если ребенок младше 7 лет
620;['Ежемесячное', 'Какие', 'услуге'];1. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей), 2. Документы, подтверждающие наличие в семье детей. 3. Свидетельство о заключении (расторжении) брака, 4. Документы о доходах семьи за три месяца, предшествующих месяцу перед месяцем подачи заявления ЛИБО документ, подтверждающий льготную категорию, 5. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя), 6. СНИЛС, 7. Реквизиты счета после достижения 7 летнего возраста ребенка.  На детей в возрасте до 7 лет пособие перечисляется на пластиковую карту «Детская». 8. Справка МСЭ об установлении группы инвалидности 
621;['Ежемесячное', 'Какие', 'услуге'];"непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
622;['Ежемесячное', 'Какие', 'услуги'];" непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
- непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя;
- непредставление заявителем (представителем) согласия на обработку персональных данных лица, не являющегося заявителем (представителем) для предоставления государственной услуги необходима обработка персональных данных такого лица (лицо, который является отцом либо матерью ребенка в зависимости кто подает заявление на получение государственной услуги)."
623;['Ежемесячное', 'Срок', 'услуги'];1. Срок принятия администрацией района решение о назначении пособия или об отказе в его назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений. В случае обнаружения обстоятельств или документов, опровергающих достоверность сведений, представленных в подтверждение права на получение меры социальной поддержки, или необходимости проведения проверки, срок принятия решения о назначении (возобновлении) указанной меры социальной поддержки продлевается на 5 рабочих дней.
624;['Ежемесячное', 'услуге', 'ребенка-инвалида'];"Только в случаях, прямо предусмотренных Социальным кодексом и Порядками №1 
и № 2. Пасынки и падчерицы учитываются в составе семьи, если они проживают совместно.
Пасынки и падчерицы – это ребенок (дети) одного из супругов по отношению 
к другому супругу, только в случае если брак между ними заключен.
"
625;['проставлять', 'апостиль', 'Ежемесячное'];"На документах должен быть проставлен «апостиль» в соответствии с Гаагской конвенцией, отменяющей требование легализации иностранных официальных документов либо справка должна быть легализована консульским учреждением Российской Федерации за пределами территории Российской Федерации (Российская Федерация присоединилась 
к Гаагской конвенции с 31.05.1992).
В случае если между иностранным государством и Российской Федерацией заключен договор, отменяющий или упрощающий данную процедуру, или освобождает документ от легализации (второй абзац статьи 3 Гаагской конвенции), проставление «апостиль» 
не требуется, достаточно нотариально заверенного перевода на русский язык.
"
626;['суда', 'администрация', 'решение'];"В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) решение принимается администрацией района по месту жительства семьи, который указан в решении суда (как по аналогии с лицами «БОМЖ»);
б) пособия назначаются по срокам, как лицам, имеющим место жительства в Санкт-Петербурге. 
"
627;['Ежемесячное', 'услуге', 'ребенка-инвалида'];"В соответствии с информацией, полученной посредством межведомственного взаимодействия от органов ЗАГСа, очередность рождения детей можно определить по актовой записи в свидетельствах о рождении.
"
628;['Ребенок', 'Какие', 'услуги'];"Ежемесячное пособие на ребенка-инвалида предоставляется со дня установления инвалидности, если обращение последовало не позднее 6 месяцев со дня возникновения прав, не считая месяца подачи заявления.
При обращении, последовавшем после истечения указанного срока, ежемесячное пособие назначается и выплачивается за истекшее время, но не более чем за 6 месяцев до месяца, в котором подано заявление.

"
629;['Ребенок', 'Какие', 'услуги'];Заявителем является законный представитель (родитель, усыновитель, опекун, попечитель) ребенка-инвалида в возрасте от рождения до 18 лет, при условии, что заявитель и ребенок, в отношении которого подается заявление, являются гражданами Российской Федерации, имеющими место жительства или место пребывания в Санкт-Петербурге, гражданами без определенного места жительства, лицами без гражданства, в том числе беженцами, имеющими место жительства или место пребывания в Санкт-Петербурге, иностранными гражданами, имеющими место жительство в Санкт-Петербурге
630;['усыновлении', 'Ребенок', 'рождении'];При наличии в семье двух и более детей пособие назначается на каждого ребенка. 
631;['Ребенок', 'услуге', 'инвалид'];"Ежемесячное пособие на ребенка-инвалида в 2023 году - 8620 руб.;
"
632;['Ребенок', 'услуга', 'инвалид'];"Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации."
633;['Ребенок', 'Какие', 'услуге'];Паспорт гражданина РФ или временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено).
634;['Ребенок', 'Какие', 'услуге'];1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность
635;['Ребенок', 'Какие', 'услуге'];Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская» если ребенок младше 7 лет
636;['Ребенок', 'Какие', 'услуге'];1. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей), 2. Документы, подтверждающие наличие в семье детей. 3. Свидетельство о заключении (расторжении) брака, 4. Документы о доходах семьи за три месяца, предшествующих месяцу перед месяцем подачи заявления ЛИБО документ, подтверждающий льготную категорию, 5. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя), 6. СНИЛС, 7. Реквизиты счета после достижения 7 летнего возраста ребенка.  На детей в возрасте до 7 лет пособие перечисляется на пластиковую карту «Детская». 8. Справка МСЭ об установлении группы инвалидности 
637;['Ребенок', 'Какие', 'услуге'];"непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
638;['Ребенок', 'Какие', 'услуги'];" непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
- непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя;
- непредставление заявителем (представителем) согласия на обработку персональных данных лица, не являющегося заявителем (представителем) для предоставления государственной услуги необходима обработка персональных данных такого лица (лицо, который является отцом либо матерью ребенка в зависимости кто подает заявление на получение государственной услуги)."
639;['Ребенок', 'Срок', 'услуги'];1. Срок принятия администрацией района решение о назначении пособия или об отказе в его назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений. В случае обнаружения обстоятельств или документов, опровергающих достоверность сведений, представленных в подтверждение права на получение меры социальной поддержки, или необходимости проведения проверки, срок принятия решения о назначении (возобновлении) указанной меры социальной поддержки продлевается на 5 рабочих дней.
640;['Ребенок', 'услуге', 'инвалид'];"Только в случаях, прямо предусмотренных Социальным кодексом и Порядками №1 
и № 2. Пасынки и падчерицы учитываются в составе семьи, если они проживают совместно.
Пасынки и падчерицы – это ребенок (дети) одного из супругов по отношению 
к другому супругу, только в случае если брак между ними заключен.
"
641;['проставлять', 'апостиль', 'Ребенок'];"На документах должен быть проставлен «апостиль» в соответствии с Гаагской конвенцией, отменяющей требование легализации иностранных официальных документов либо справка должна быть легализована консульским учреждением Российской Федерации за пределами территории Российской Федерации (Российская Федерация присоединилась 
к Гаагской конвенции с 31.05.1992).
В случае если между иностранным государством и Российской Федерацией заключен договор, отменяющий или упрощающий данную процедуру, или освобождает документ от легализации (второй абзац статьи 3 Гаагской конвенции), проставление «апостиль» 
не требуется, достаточно нотариально заверенного перевода на русский язык.
"
642;['суда', 'администрация', 'решение'];"В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) решение принимается администрацией района по месту жительства семьи, который указан в решении суда (как по аналогии с лицами «БОМЖ»);
б) пособия назначаются по срокам, как лицам, имеющим место жительства в Санкт-Петербурге. 
"
643;['Ребенок', 'услуге', 'инвалид'];"В соответствии с информацией, полученной посредством межведомственного взаимодействия от органов ЗАГСа, очередность рождения детей можно определить по актовой записи в свидетельствах о рождении.
"
644;['услуге', 'является', 'заявителем'];Зявителями являются граждане Российской Федерации, имеющие место жительства в Санкт-Петербурге (постоянную регистрацию в СПб), являющиеся инвалидами и нуждающиеся по медицинским показаниям в дополнительных технических средствах реабилитации.
645;['услуге', 'определяются', 'сроки'];Очередное получение ДТСР инвалидом осуществляется в течение всего календарного года, соответствующего году окончания срока пользования ДТСР. Под календарным годом понимается период времени с 1 января по 31 декабря.
646;['услуге', 'срок', 'действует'];Направление действует в течение четырех месяцев со дня издания распоряжения администрации района Санкт-Петербурга.
647;['услуге', 'документ', 'удостоверяющий'];"1. паспорт гражданина РФ  или временное удостоверение личности, выданное на период замены паспорта (для гражданина, достигшего возраста 14 лет); 2. Свидетельство о рождении ребенка."
648;['услуге', 'документ', 'подтверждает'];"1. Документ, удостоверяющий личность представителя (законного представителя) инвалида:
- паспорт гражданина РФ  или временное удостоверение личности, выданное на период замены паспорта;
- паспорт иностранного гражданина, вид на жительство - документ, выданный иностранному гражданину или лицу без гражданства в подтверждение их права на постоянное проживание в Российской Федерации в соответствии с Федеральным законом от 25.07.2002 № 115-ФЗ ""О правовом положении иностранных граждан в Российской Федерации"";
- удостоверение беженца - документ, выданный лицу, признанному беженцем в соответствии с Федеральным законом от 19.02.1993 № 4528-1 ""О беженцах"". И доверенность"
649;['Какие', 'услуге', 'требования'];" Документ, оформленный в соответствии с действующим законодательством РФ, подтверждающий наличие у представителя права действовать от лица заявителя, и определяющий условия и границы реализации права представителя на получение государственной услуги, в том числе:
- Доверенность, удостоверенная нотариально либо удостоверенная в порядке, предусмотренном пунктом 2 статьи 185.1 Гражданского кодекса РФ.
- Доверенность в простой письменной форме
- Доверенность в простой письменной форме, выдаваемая законным представителем несовершеннолетнего (совершеннолетнего недееспособного) заявителя третьему лицу."
650;['Какие', 'услуге', 'документы'];"Документ, подтверждающий право законного представителя выступать от имени заявителя:
- свидетельство о рождении
- решение органа опеки и попечительства об установлении опеки и попечительства
- акт органа исполнительной власти субъекта РФ о назначении руководителем организации для детей-сирот и детей, оставшихся без попечения родителей (для государственных организаций), акт учредителя о назначении руководителем организации для детей-сирот и детей, оставшихся без попечения родителей (для негосударственных организаций)
(в отношении граждан, находящихся под опекой или попечительством либо помещенных под надзор в образовательные организации, медицинские организации, организации, оказывающие социальные услуги, или иные организации, в том числе для детей-сирот и детей, оставшихся без попечения родителей)."
651;['услуге', 'документ', 'подтверждает'];Справка об установлении инвалидности
652;['ДТСР', 'услуге', 'документ'];Индивидуальная программа реабилитации или абилитации инвалида ИЛИ заключение медицинской организации, оказывающей первичную медико-санитарную помощь и входящей в перечень медицинских организаций, участвующих в реализации Территориальной программы государственных гарантий бесплатного оказания гражданам медицинской помощи в СПб
653;['регистрации', 'услуге', 'случае'];Решение суда об установлении места жительства (при наличии).
654;['Какие', 'услуге', 'основания'];"непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя."
655;['Какие', 'услуги', 'основания'];"отсутствие у инвалида права на получение ДТСР;
представление заявителем неполных и(или) недостоверных сведений и документов, необходимых для получения ДТСР."
656;['услуги', 'результат', 'предоставления'];"1.Принятие решения о предоставлении ДТСР и выдача заявителю направления на получение ДТСР с указанием поставщиков ДТСР
2.Принятие решения об отказе в предоставлении ДТСР"
657;['услуги', 'срок', 'предоставления'];Администрация района рассматривает заявление, представленные документы и принимает решение о предоставлении ДТСР в течение 10 рабочих дней со дня их подачи.
658;['Выполнять', 'услуге', 'реабилитации'];Зявителями являются граждане Российской Федерации, имеющие место жительства в Санкт-Петербурге (постоянную регистрацию в СПб), являющиеся инвалидами и нуждающиеся по медицинским показаниям в дополнительных технических средствах реабилитации.
659;['Выполнять', 'услуге', 'реабилитации'];Очередное получение ДТСР инвалидом осуществляется в течение всего календарного года, соответствующего году окончания срока пользования ДТСР. Под календарным годом понимается период времени с 1 января по 31 декабря.
660;['Выполнять', 'услуге', 'реабилитации'];Направление действует в течение четырех месяцев со дня издания распоряжения администрации района Санкт-Петербурга.
661;['Выполнять', 'услуге', 'реабилитации'];"1. паспорт гражданина РФ  или временное удостоверение личности, выданное на период замены паспорта (для гражданина, достигшего возраста 14 лет); 2. Свидетельство о рождении ребенка."
662;['Выполнять', 'услуге', 'реабилитации'];"1. Документ, удостоверяющий личность представителя (законного представителя) инвалида:
- паспорт гражданина РФ  или временное удостоверение личности, выданное на период замены паспорта;
- паспорт иностранного гражданина, вид на жительство - документ, выданный иностранному гражданину или лицу без гражданства в подтверждение их права на постоянное проживание в Российской Федерации в соответствии с Федеральным законом от 25.07.2002 № 115-ФЗ ""О правовом положении иностранных граждан в Российской Федерации"";
- удостоверение беженца - документ, выданный лицу, признанному беженцем в соответствии с Федеральным законом от 19.02.1993 № 4528-1 ""О беженцах"". И доверенность"
663;['Выполнять', 'Какие', 'услуге'];" Документ, оформленный в соответствии с действующим законодательством РФ, подтверждающий наличие у представителя права действовать от лица заявителя, и определяющий условия и границы реализации права представителя на получение государственной услуги, в том числе:
- Доверенность, удостоверенная нотариально либо удостоверенная в порядке, предусмотренном пунктом 2 статьи 185.1 Гражданского кодекса РФ.
- Доверенность в простой письменной форме
- Доверенность в простой письменной форме, выдаваемая законным представителем несовершеннолетнего (совершеннолетнего недееспособного) заявителя третьему лицу."
664;['Выполнять', 'Какие', 'услуге'];"Документ, подтверждающий право законного представителя выступать от имени заявителя:
- свидетельство о рождении
- решение органа опеки и попечительства об установлении опеки и попечительства
- акт органа исполнительной власти субъекта РФ о назначении руководителем организации для детей-сирот и детей, оставшихся без попечения родителей (для государственных организаций), акт учредителя о назначении руководителем организации для детей-сирот и детей, оставшихся без попечения родителей (для негосударственных организаций)
(в отношении граждан, находящихся под опекой или попечительством либо помещенных под надзор в образовательные организации, медицинские организации, организации, оказывающие социальные услуги, или иные организации, в том числе для детей-сирот и детей, оставшихся без попечения родителей)."
665;['Выполнять', 'услуге', 'реабилитации'];Справка об установлении инвалидности
666;['Выполнять', 'ДТСР', 'услуге'];Индивидуальная программа реабилитации или абилитации инвалида ИЛИ заключение медицинской организации, оказывающей первичную медико-санитарную помощь и входящей в перечень медицинских организаций, участвующих в реализации Территориальной программы государственных гарантий бесплатного оказания гражданам медицинской помощи в СПб
667;['Выполнять', 'регистрации', 'услуге'];Решение суда об установлении места жительства (при наличии).
668;['Выполнять', 'Какие', 'услуге'];"непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя."
669;['Выполнять', 'Какие', 'услуги'];"отсутствие у инвалида права на получение ДТСР;
представление заявителем неполных и(или) недостоверных сведений и документов, необходимых для получения ДТСР."
670;['Выполнять', 'услуги', 'реабилитации'];"1.Принятие решения о предоставлении ДТСР и выдача заявителю направления на получение ДТСР с указанием поставщиков ДТСР
2.Принятие решения об отказе в предоставлении ДТСР"
671;['Выполнять', 'услуги', 'реабилитации'];Администрация района рассматривает заявление, представленные документы и принимает решение о предоставлении ДТСР в течение 10 рабочих дней со дня их подачи.
672;['Выдача', 'услуге', 'реабилитации'];Зявителями являются граждане Российской Федерации, имеющие место жительства в Санкт-Петербурге (постоянную регистрацию в СПб), являющиеся инвалидами и нуждающиеся по медицинским показаниям в дополнительных технических средствах реабилитации.
673;['Выдача', 'услуге', 'реабилитации'];Очередное получение ДТСР инвалидом осуществляется в течение всего календарного года, соответствующего году окончания срока пользования ДТСР. Под календарным годом понимается период времени с 1 января по 31 декабря.
674;['Выдача', 'услуге', 'реабилитации'];Направление действует в течение четырех месяцев со дня издания распоряжения администрации района Санкт-Петербурга.
675;['Выдача', 'услуге', 'реабилитации'];"1. паспорт гражданина РФ  или временное удостоверение личности, выданное на период замены паспорта (для гражданина, достигшего возраста 14 лет); 2. Свидетельство о рождении ребенка."
676;['Выдача', 'услуге', 'реабилитации'];"1. Документ, удостоверяющий личность представителя (законного представителя) инвалида:
- паспорт гражданина РФ  или временное удостоверение личности, выданное на период замены паспорта;
- паспорт иностранного гражданина, вид на жительство - документ, выданный иностранному гражданину или лицу без гражданства в подтверждение их права на постоянное проживание в Российской Федерации в соответствии с Федеральным законом от 25.07.2002 № 115-ФЗ ""О правовом положении иностранных граждан в Российской Федерации"";
- удостоверение беженца - документ, выданный лицу, признанному беженцем в соответствии с Федеральным законом от 19.02.1993 № 4528-1 ""О беженцах"". И доверенность"
677;['Выдача', 'Какие', 'услуге'];" Документ, оформленный в соответствии с действующим законодательством РФ, подтверждающий наличие у представителя права действовать от лица заявителя, и определяющий условия и границы реализации права представителя на получение государственной услуги, в том числе:
- Доверенность, удостоверенная нотариально либо удостоверенная в порядке, предусмотренном пунктом 2 статьи 185.1 Гражданского кодекса РФ.
- Доверенность в простой письменной форме
- Доверенность в простой письменной форме, выдаваемая законным представителем несовершеннолетнего (совершеннолетнего недееспособного) заявителя третьему лицу."
678;['Выдача', 'Какие', 'услуге'];"Документ, подтверждающий право законного представителя выступать от имени заявителя:
- свидетельство о рождении
- решение органа опеки и попечительства об установлении опеки и попечительства
- акт органа исполнительной власти субъекта РФ о назначении руководителем организации для детей-сирот и детей, оставшихся без попечения родителей (для государственных организаций), акт учредителя о назначении руководителем организации для детей-сирот и детей, оставшихся без попечения родителей (для негосударственных организаций)
(в отношении граждан, находящихся под опекой или попечительством либо помещенных под надзор в образовательные организации, медицинские организации, организации, оказывающие социальные услуги, или иные организации, в том числе для детей-сирот и детей, оставшихся без попечения родителей)."
679;['Выдача', 'услуге', 'реабилитации'];Справка об установлении инвалидности
680;['Выдача', 'ДТСР', 'услуге'];Индивидуальная программа реабилитации или абилитации инвалида ИЛИ заключение медицинской организации, оказывающей первичную медико-санитарную помощь и входящей в перечень медицинских организаций, участвующих в реализации Территориальной программы государственных гарантий бесплатного оказания гражданам медицинской помощи в СПб
681;['Выдача', 'регистрации', 'услуге'];Решение суда об установлении места жительства (при наличии).
682;['Выдача', 'Какие', 'услуге'];"непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя."
683;['Выдача', 'Какие', 'услуги'];"отсутствие у инвалида права на получение ДТСР;
представление заявителем неполных и(или) недостоверных сведений и документов, необходимых для получения ДТСР."
684;['Выдача', 'услуги', 'реабилитации'];"1.Принятие решения о предоставлении ДТСР и выдача заявителю направления на получение ДТСР с указанием поставщиков ДТСР
2.Принятие решения об отказе в предоставлении ДТСР"
