;QUESTION;ANSWER
141;"Какие документы предоставить для подтверждения льготной категории при оформлении ""Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей""?    ";" свидетельство о смерти родителей (родителя), выданное исполнительными органами государственной власти субъектов РФ или органами местного самоуправления субъектов РФ (кроме СПб);
решение суда о лишении (ограничении) родителей родительских прав; решение суда о признании родителей безвестно отсутствующими (умершими);
решение суда о признании родителей недееспособными;
решение суда о признании ребенка оставшимся без попечения родителей;
решение суда об уклонении родителей от воспитания и содержания ребенка без уважительных причин;
решение суда об исключении матери из актовой записи о рождении.
"
142;"Какие документы предоставить для подтверждения льготной категории при оформлении ""Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот""?    ";" свидетельство о смерти родителей (родителя), выданное исполнительными органами государственной власти субъектов РФ или органами местного самоуправления субъектов РФ (кроме СПб);
решение суда о лишении (ограничении) родителей родительских прав; решение суда о признании родителей безвестно отсутствующими (умершими);
решение суда о признании родителей недееспособными;
решение суда о признании ребенка оставшимся без попечения родителей;
решение суда об уклонении родителей от воспитания и содержания ребенка без уважительных причин;
решение суда об исключении матери из актовой записи о рождении.
"
143;"Какие документы заявителяю предоставить для подтверждения наличия собственности при оформлении ""Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот""?    ";"1. Выписка из ЕГРН 2. Документ, подтверждающий право собственности ребенка-сироты на жилое помещение
(в случае если право не зарегистрировано в Едином государственном реестре прав на недвижимое имущество и сделок с ним)"
144;"Какие документы заявителяю предоставить для подтверждения наличия собственности при оформлении ""Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей""?    ";"1. Выписка из ЕГРН 2. Документ, подтверждающий право собственности ребенка-сироты на жилое помещение
(в случае если право не зарегистрировано в Едином государственном реестре прав на недвижимое имущество и сделок с ним)"
145;Какие документы заявителяю предоставить для подтверждения наличия собственности при оформлении 592 услуги?   ;"1. Выписка из ЕГРН 2. Документ, подтверждающий право собственности ребенка-сироты на жилое помещение
(в случае если право не зарегистрировано в Едином государственном реестре прав на недвижимое имущество и сделок с ним)"
146;"Какие документы заявителяю предоставить для подтверждения наличия собственности при оформлении ""Предоставление дополнительной меры социальной поддержки в виде ремонта жилых помещений, единственными собственниками, сособственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей, лица из числа детей-сирот и детей, оставшихся без попечения родителей""?   ";"1. Выписка из ЕГРН 2. Документ, подтверждающий право собственности ребенка-сироты на жилое помещение
(в случае если право не зарегистрировано в Едином государственном реестре прав на недвижимое имущество и сделок с ним)"
147;"Какие основания для отказа в приеме документов по услуге  ""Предоставление дополнительной меры социальной поддержки в виде ремонта жилых помещений, единственными собственниками, сособственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей, лица из числа детей-сирот и детей, оставшихся без попечения родителей""?   ";Не предусмотрено
148;Какие основания для отказа в приеме документов по 582 услуге?     ;Не предусмотрено
149;"Какие основания для отказа в приеме документов по услуге ""Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей""?    ";Не предусмотрено
150;"Какие основания для отказа в приеме документов по услуге ""Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот""?    ";Не предусмотрено
151;"Какие основания для отказа в предоставлении услуги ""Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот""?   ";"представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя;
гражданин, в отношении которого подано заявление, не имеет права на предоставление дополнительной меры социальной поддержки."
152;"Какие основания для отказа в предоставлении услуги ""Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей""?    ";"представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя;
гражданин, в отношении которого подано заявление, не имеет права на предоставление дополнительной меры социальной поддержки."
153;Какие основания для отказа в предоставлении 592 услуге?   ;"представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя;
гражданин, в отношении которого подано заявление, не имеет права на предоставление дополнительной меры социальной поддержки."
154;"Какие основания для отказа в предоставлении услуги  ""Предоставление дополнительной меры социальной поддержки в виде ремонта жилых помещений, единственными собственниками, сособственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей, лица из числа детей-сирот и детей, оставшихся без попечения родителей""?   ";"представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя;
гражданин, в отношении которого подано заявление, не имеет права на предоставление дополнительной меры социальной поддержки."
155;"Какой результат услуги  ""Предоставление дополнительной меры социальной поддержки в виде ремонта жилых помещений, единственными собственниками, сособственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей, лица из числа детей-сирот и детей, оставшихся без попечения родителей""?   ";"1. Издание распоряжения о предоставлении дополнительной меры социальной поддержки и постановке гражданина на учет в АИС ""ЭСРН"".
2. Принятие решения об отказе в предоставлении дополнительной меры социальной поддержки."
156;Какой результат 592  услуги ?   ;"1. Издание распоряжения о предоставлении дополнительной меры социальной поддержки и постановке гражданина на учет в АИС ""ЭСРН"".
2. Принятие решения об отказе в предоставлении дополнительной меры социальной поддержки."
157;"Какой результат по услуге ""Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей""?    ";"1. Издание распоряжения о предоставлении дополнительной меры социальной поддержки и постановке гражданина на учет в АИС ""ЭСРН"".
2. Принятие решения об отказе в предоставлении дополнительной меры социальной поддержки."
158;"Какой результат по услуге  ""Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот""?   ";"1. Издание распоряжения о предоставлении дополнительной меры социальной поддержки и постановке гражданина на учет в АИС ""ЭСРН"".
2. Принятие решения об отказе в предоставлении дополнительной меры социальной поддержки."
159;"Какой срок предоставления услуги ""Предоставление дополнительной меры социальной поддержки в виде ремонта жилых помещений, единственными собственниками, сособственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей, лица из числа детей-сирот и детей, оставшихся без попечения родителей?   ";"1. Принятие решения в течение 20 рабочих дней со дня предоставления заявления.
2. Информирование заявителя в течение 5 рабочих дней со дня принятия решения."
160;Какой срок предоставления 592 услуги?   ;"1. Принятие решения в течение 20 рабочих дней со дня предоставления заявления.
2. Информирование заявителя в течение 5 рабочих дней со дня принятия решения."
161;"Какой срок предоставления услуги ""Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот""?   ";"1. Принятие решения в течение 20 рабочих дней со дня предоставления заявления.
2. Информирование заявителя в течение 5 рабочих дней со дня принятия решения."
162;"Какой срок предоставления услуги ""Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей""?    ";"1. Принятие решения в течение 20 рабочих дней со дня предоставления заявления.
2. Информирование заявителя в течение 5 рабочих дней со дня принятия решения."
163;"Какой срок предоставления услуги  ""Предоставление дополнительной меры социальной поддержки в виде ремонта жилых помещений, единственными собственниками, сособственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей, лица из числа детей-сирот и детей, оставшихся без попечения родителей""?   ";"1. Принятие решения в течение 20 рабочих дней со дня предоставления заявления.
2. Информирование заявителя в течение 5 рабочих дней со дня принятия решения."
164;"Кому предоставляется услуга ""Предоставлять меру социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок в организации отдыха детей и молодежи и их оздоровления опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей""?   ";"Заявителями являются граждане Российской Федерации, имеющие место жительства или место пребывания в Санкт-Петербурге, из числа:
- дети-сироты и дети, оставшиеся без попечения родителей ;
- лица из числа детей-сирот и детей, оставшихся без попечения родителей , обучающиеся по очной форме обучения в образовательных организациях."
165;"Кому предоставляется услуга ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?   ";"Заявителями являются граждане Российской Федерации, имеющие место жительства или место пребывания в Санкт-Петербурге, из числа:
- дети-сироты и дети, оставшиеся без попечения родителей ;
- лица из числа детей-сирот и детей, оставшихся без попечения родителей , обучающиеся по очной форме обучения в образовательных организациях."
166;"Кому предоставляется услуга ""Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления""?   ";"Заявителями являются граждане Российской Федерации, имеющие место жительства или место пребывания в Санкт-Петербурге, из числа:
- дети-сироты и дети, оставшиеся без попечения родителей ;
- лица из числа детей-сирот и детей, оставшихся без попечения родителей , обучающиеся по очной форме обучения в образовательных организациях."
167;"Какой срок подачи заявления по услуге ""Предоставлять меру социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок в организации отдыха детей и молодежи и их оздоровления опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей""?   ";Заявление подается не позднее трех месяцев с даты окончания отдыха в организации отдыха детей и молодежи и их оздоровления
168;"Какой срок подачи заявления по услуге ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?   ";Заявление подается не позднее трех месяцев с даты окончания отдыха в организации отдыха детей и молодежи и их оздоровления
169;"Какой срок подачи заявления по услуге ""Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления""?   ";Заявление подается не позднее трех месяцев с даты окончания отдыха в организации отдыха детей и молодежи и их оздоровления
170;"В каком случае предоставляется услуга ""Предоставлять меру социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок в организации отдыха детей и молодежи и их оздоровления опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей""?   ";Денежная компенсация стоимости путевки предоставляется в случае самостоятельного приобретения опекунами (попечителями), приемными родителями детей-сирот путевок в организациях отдыха детей и их оздоровления, включенных в реестры организаций отдыха детей и их оздоровления, сформированные в субъектах РФ.
171;"В каком случае предоставляется услуга ""Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления""?   ";Денежная компенсация стоимости путевки предоставляется в случае самостоятельного приобретения опекунами (попечителями), приемными родителями детей-сирот путевок в организациях отдыха детей и их оздоровления, включенных в реестры организаций отдыха детей и их оздоровления, сформированные в субъектах РФ.
172;"В каком случае предоставляется услуга ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?   ";Денежная компенсация стоимости путевки предоставляется в случае самостоятельного приобретения опекунами (попечителями), приемными родителями детей-сирот путевок в организациях отдыха детей и их оздоровления, включенных в реестры организаций отдыха детей и их оздоровления, сформированные в субъектах РФ.
173;"На какую сумму может рассчитывать заявитель при оформлении услуги ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?   ";"Денежная компенсация стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей, за счет средств бюджета Санкт-Петербурга:
с 01.04.2022 - по фактическим расходам, но не более чем 36 475 руб.; 
с 01.01.2023 - по фактическим расходам, но не более чем 39 473 руб."
174;"На какую сумму может рассчитывать заявитель при оформлении услуги ""Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления""?   ";"Денежная компенсация стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей, за счет средств бюджета Санкт-Петербурга:
с 01.04.2022 - по фактическим расходам, но не более чем 36 475 руб.; 
с 01.01.2023 - по фактическим расходам, но не более чем 39 473 руб."
175;"На какую сумму может рассчитывать заявитель при оформлении услуги ""Предоставлять меру социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок в организации отдыха детей и молодежи и их оздоровления опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей""?   ";"Денежная компенсация стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей, за счет средств бюджета Санкт-Петербурга:
с 01.04.2022 - по фактическим расходам, но не более чем 36 475 руб.; 
с 01.01.2023 - по фактическим расходам, но не более чем 39 473 руб."
176;"Какие документы, удостоверяющие личность предоставляет заявитель при оформлении услуги ""Предоставлять меру социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок в организации отдыха детей и молодежи и их оздоровления опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей""?   ";1. Свидетельство о рождении ребенка 2. Документ, удостоверяющий личность получателя услуги в возрасте старше 14 лет (паспорт гражданина РФ или временное удостоверение личности, выданное на период его замены).
177;"Какие документы, удостоверяющие личность предоставляет заявитель при оформлении услуги ""Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления""?   ";1. Свидетельство о рождении ребенка 2. Документ, удостоверяющий личность получателя услуги в возрасте старше 14 лет (паспорт гражданина РФ или временное удостоверение личности, выданное на период его замены).
178;"Какие документы, удостоверяющие личность предоставляет заявитель при оформлении услуги ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?   ";1. Свидетельство о рождении ребенка 2. Документ, удостоверяющий личность получателя услуги в возрасте старше 14 лет (паспорт гражданина РФ или временное удостоверение личности, выданное на период его замены).
179;"Какие документы необходимо предоставить при обращении представителя при оформлении услуги ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?   ";"1. документ, удостоверяющий законного представителя (представителя) (паспорт гражданина Российской Федерации или временное удостоверение личности, выданное на период его замены, паспорт иностранного гражданина, вид на жительство, удостоверение беженца). 2. Документ, подтверждающий полномочия законного представителя (представителя):
- документ, содержащий сведения об установлении опеки и попечительства в отношении ребенка - за исключением документов, выданных на территории Российской Федерации. 3.  случае представления документов представителем:
- Доверенность, оформленная в соответствии с действующим законодательством РФ, в том числе в простой письменной форме, подтверждающая наличие у представителя прав действовать от лица заявителя и определяющая условия и границы реализации права на получение государственной услуги."
180;"Какие документы необходимо предоставить при обращении представителя при оформлении услуги ""Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления""?   ";"1. документ, удостоверяющий законного представителя (представителя) (паспорт гражданина Российской Федерации или временное удостоверение личности, выданное на период его замены, паспорт иностранного гражданина, вид на жительство, удостоверение беженца). 2. Документ, подтверждающий полномочия законного представителя (представителя):
- документ, содержащий сведения об установлении опеки и попечительства в отношении ребенка - за исключением документов, выданных на территории Российской Федерации. 3.  случае представления документов представителем:
- Доверенность, оформленная в соответствии с действующим законодательством РФ, в том числе в простой письменной форме, подтверждающая наличие у представителя прав действовать от лица заявителя и определяющая условия и границы реализации права на получение государственной услуги."
181;"Какие документы необходимо предоставить при обращении представителя при оформлении услуги ""Предоставлять меру социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок в организации отдыха детей и молодежи и их оздоровления опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей""?   ";"1. документ, удостоверяющий законного представителя (представителя) (паспорт гражданина Российской Федерации или временное удостоверение личности, выданное на период его замены, паспорт иностранного гражданина, вид на жительство, удостоверение беженца). 2. Документ, подтверждающий полномочия законного представителя (представителя):
- документ, содержащий сведения об установлении опеки и попечительства в отношении ребенка - за исключением документов, выданных на территории Российской Федерации. 3.  случае представления документов представителем:
- Доверенность, оформленная в соответствии с действующим законодательством РФ, в том числе в простой письменной форме, подтверждающая наличие у представителя прав действовать от лица заявителя и определяющая условия и границы реализации права на получение государственной услуги."
182;"Нужно ли предоставлять документы подтверждающие регистрацию при оформлении услуги ""Предоставлять меру социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок в организации отдыха детей и молодежи и их оздоровления опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей""?   ";Да. Документы (сведения) о регистрации ребенка по месту жительства или пребывания.
183;"Нужно ли предоставлять документы подтверждающие регистрацию при оформлении услуги ""Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления""?   ";Да. Документы (сведения) о регистрации ребенка по месту жительства или пребывания.
184;"Нужно ли предоставлять документы подтверждающие регистрацию при оформлении услуги ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?   ";Да. Документы (сведения) о регистрации ребенка по месту жительства или пребывания.
185;"Какие документы подтверждают льготную категорию при оформлении услуги ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?   ";"вступившее в законную силу решение суда о лишении (ограничении) родителей родительских прав;
вступившее в законную силу решение суда о признании родителей безвестно отсутствующими (умершими);
 вступившее в законную силу решение суда о признании родителей недееспособными (ограниченно дееспособными);
вступившее в законную силу решение суда об установлении факта отсутствия родительского попечения над ребенком;
письменное согласие матери и (или) отца ребенка на усыновление (удочерение);
вступивший в законную силу приговор суда о назначении наказания матери (отцу) ребенка в виде лишения свободы;
вступившее в законную силу постановление судьи об избрании меры пресечения матери (отцу) ребенка в виде заключения под стражу;
вступившее в законную силу постановление суда о принудительном лечении матери и (или) отца ребенка в медицинской организации, оказывающей психиатрическую помощь в стационарных условиях;
свидетельство о рождении, не содержащее сведений о матери и (или) отце ребенка, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык;
справка о рождении, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка, выданная компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык;
- свидетельство о смерти матери и (или) отца, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык"
