Keywords;Answer
сирота поступление ребёнок единовременный пособие;"1 Документ, подтверждающий, что выпускник принадлежит к категории детей-сирот, или детей, оставшихся без попечения родителей, или лиц из числа детей-сирот и детей, оставшихся без попечения родителей, или лиц, потерявших в период обучения обоих родителей или единственного родителя: 
- вступившее в законную силу решение суда о лишении (ограничении) родителей родительских прав;
- вступившее в законную силу решение суда о признании родителей безвестно отсутствующими (умершими);
- вступившее в законную силу решение суда о признании родителей недееспособными (ограниченно дееспособными);
- вступившее в законную силу решение суда об установлении факта отсутствия родительского попечения над ребенком;
- письменное согласие матери и (или) отца ребенка на усыновление (удочерение);
- вступивший в законную силу приговор суда о назначении наказания матери (отцу) ребенка в виде лишения свободы;
- вступившее в законную силу постановление судьи об избрании меры пресечения матери (отцу) ребенка в виде заключения под стражу;
- вступившее в законную силу постановление суда о принудительном лечении матери и (или) отца ребенка в медицинской организации, оказывающей психиатрическую помощь в стационарных условиях;
- свидетельство о рождении, не содержащее сведений о матери и (или) отце ребенка, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык;
- справка о рождении, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка, выданная компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык;
- свидетельство о смерти матери и (или) отца, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык. 2 Справка, подтверждающая подачу документов и заявления в отношении ребенка-сироты и ребенка, оставшегося без попечения родителей, на прием в гражданство Российской Федерации (для детей-сирот и детей, оставшихся без попечения родителей, не имеющих документов, которыми в соответствии с федеральным законодательством в сфере гражданства Российской Федерации может быть удостоверено наличие у них гражданства Российской Федерации, до оформления наличия гражданства Российской Федерации)."
сирота поступление ребёнок единовременный пособие;"непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
- непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя."
сирота поступление ребёнок единовременный пособие;"отсутствие у заявителя права на предоставление государственной услуги;
- представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."
сирота поступление ребёнок единовременный пособие;"принятие администрацией района решения об обеспечении бесплатным комплектом одежды и обуви, мягким инвентарем и оборудованием либо о предоставлении единовременной денежной компенсации для приобретения комплекта одежды и обуви, мягкого инвентаря и оборудования, и единовременного денежного пособия;
- принятие администрацией района решения об отказе в обеспечении бесплатным комплектом одежды и обуви, мягким инвентарем и оборудованием либо предоставлении единовременной денежной компенсации для приобретения комплекта одежды и обуви, мягкого инвентаря и оборудования, и единовременного денежного пособия."
сирота поступление ребёнок единовременный пособие;"не более 25 рабочих дней.
Решение о предоставлении государственной услуги либо об отказе в ее предоставлении принимается администрацией района в течение десяти рабочих дней со дня поступления заявления и документов (сведений) в администрацию района."
пособие ежегодный письменный принадлежность литература;"Заявителями являются:
- дети-сироты и дети, оставшиеся без попечения родителей, являющиеся гражданами РФ, обучающиеся по очной форме обучения в государственных образовательных учреждениях, в лице законных представителей (опекуна, попечителя, руководителя организации для детей-сирот и детей, оставшихся без попечения родителей);
- лица из числа детей-сирот и детей, оставшихся без попечения родителей, являющиеся гражданами РФ, обучающиеся по очной форме обучения в государственных образовательных учреждениях;
- лица, потерявшие в период обучения обоих родителей или единственного родителя, являющиеся гражданами РФ, обучающиеся по очной форме обучения в государственных образовательных учреждениях.

- дети-сироты
дети-сироты - граждане в возрасте до 18 лет, у которых умерли оба или единственный родитель

- дети, оставшиеся без попечения родителей,
дети, оставшиеся без попечения родителей, - граждане в возрасте до 18 лет, которые остались без попечения единственного родителя или обоих родителей в связи с лишением их родительских прав, ограничением их в родительских правах, признанием родителей безвестно отсутствующими, недееспособными (ограниченно дееспособными), объявлением их умершими, установлением судом факта утраты лицом попечения родителей, отбыванием родителями наказания в учреждениях, исполняющих наказание в виде лишения свободы, нахождением родителей в местах содержания под стражей подозреваемых и обвиняемых в совершении преступлений, уклонением родителей от воспитания своих детей или от защиты их прав и интересов, отказом родителей взять своих детей из образовательных организаций, медицинских организаций, организаций, оказывающих социальные услуги, а также в случае, если единственный родитель или оба родителя неизвестны, в иных случаях признания детей оставшимися без попечения родителей в установленном законом порядке

- лица из числа детей-сирот и детей, оставшихся без попечения родителей,
лица из числа детей-сирот и детей, оставшихся без попечения родителей, - граждане в возрасте от 18 до 23 лет, у которых, когда они находились в возрасте до 18 лет, умерли оба или единственный родитель, а также которые остались без попечения обоих или единственного родителя и имеют в соответствии с действующим законодательством право на дополнительные гарантии по социальной поддержке

-лица, потерявшие в период обучения обоих или единственного родителя
лица, потерявшие в период обучения обоих родителей или единственного родителя, - лица в возрасте от 18 до 23 лет, у которых в период их обучения по основным профессиональным образовательным программам и(или) по программам профессиональной подготовки по профессиям рабочих, должностям служащих умерли оба родителя или единственный родитель

-государственные образовательные учреждения
государственные образовательные учреждения - государственные учреждения, находящиеся в ведении исполнительных органов государственной власти СПб, осуществляющие образовательный процесс"
пособие ежегодный письменный принадлежность литература;Ежегодное пособие на приобретение учебной литературы и письменных принадлежностей предоставляется детям-сиротам, детям, оставшимся без попечения родителей, лицам из их числа, а также лицам, потерявшим в период обучения обоих родителей или единственного родителя, независимо от их места жительства или места пребывания.
пособие ежегодный письменный принадлежность литература;"Ежегодное пособие на приобретение учебной литературы и письменных принадлежностей назначается и выплачивается в трехкратном размере государственной социальной стипендии, установленной Правительством Санкт-Петербурга (в 2023 году -3159 руб.).
"
пособие ежегодный письменный принадлежность литература;Ежегодное пособие на приобретение учебной литературы и письменных принадлежностей предоставляется один раз в календарном году (с 01 января по 31 декабря текущего года).
пособие ежегодный письменный принадлежность литература;паспорт гражданина РФ или временное удостоверение личности, выдаваемое на период оформления паспорта
пособие ежегодный письменный принадлежность литература;"Документ, удостоверяющий личность представителя (законного представителя):
- паспорт гражданина РФ  или временное удостоверение личности, выданное на период замены паспорта;
- паспорт иностранного гражданина, вид на жительство - документ, выданный иностранному гражданину или лицу без гражданства в подтверждение их права на постоянное проживание в Российской Федерации в соответствии с Федеральным законом от 25.07.2002 № 115-ФЗ ""О правовом положении иностранных граждан в Российской Федерации"";
- удостоверение беженца - документ, выданный лицу, признанному беженцем в соответствии с Федеральным законом от 19.02.1993 № 4528-1 ""О беженцах"".
Документ, оформленный в соответствии с действующим законодательством РФ, подтверждающий наличие у представителя права действовать от лица заявителя, и определяющий условия и границы реализации права представителя на получение государственной услуги, в том числе:
- доверенность, удостоверенная нотариально либо удостоверенная в порядке, предусмотренном пунктом 2 статьи 185.1 Гражданского кодекса РФ.
- доверенность в простой письменной форме;
- доверенность в простой письменной форме, выдаваемая законным представителем несовершеннолетнего (совершеннолетнего недееспособного) заявителя третьему лицу.


 Документ, подтверждающий право законного представителя выступать от имени заявителя:
- решение органа опеки и попечительства о назначении опекуном или попечителем,
- акт органа исполнительной власти субъекта РФ о назначении руководителем организации для детей-сирот и детей, оставшихся без попечения родителей (для государственных организаций),
- акт учредителя о назначении руководителем организации для детей-сирот и детей, оставшихся без попечения родителей (для негосударственных организаций)"
пособие ежегодный письменный принадлежность литература;"Свидетельство о рождении обучающегося, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык. Документы, подтверждающие, что обучающийся принадлежит к категории детей-сирот или детей, оставшихся без попечения родителей, или лиц из числа детей-сирот и детей, оставшихся без попечения родителей, или лиц, потерявших в период обучения обоих родителей или единственного родителя:
- решение суда о лишении (ограничении) родителей родительских прав;
- решение суда о признании родителей безвестно отсутствующими (умершими);
- решение суда о признании родителей недееспособными (ограниченно дееспособными);
- решение суда об установлении факта отсутствия родительского попечения над ребенком;
- письменное согласие матери и(или) отца ребенка на усыновление (удочерение);
- приговор суда о назначении наказания матери (отцу) ребенка в виде лишения свободы;
- постановление судьи об избрании меры пресечения матери (отцу) ребенка в виде заключения под стражу;
- постановление суда о принудительном лечении матери и(или) отца ребенка в медицинской организации, оказывающей психиатрическую помощь в стационарных условиях;
- свидетельство о смерти матери и (или) отца ребенка, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык.Решение суда о признании матери умершей и (или) отца умершим (для лиц, потерявших в период обучения обоих родителей или единственного родителя). Справка об обучении по очной форме обучения в образовательной организации
(для лиц из числа детей-сирот и детей, оставшихся без попечения родителей, обучающихся в государственных образовательных организациях, реализующих образовательные программы среднего профессионального образования и высшего образования, профессионального обучения).  Документ, содержащий сведения об установлении опеки и попечительства в отношении ребенка, за исключением документов, выданных на территории РФ"
пособие ежегодный письменный принадлежность литература;"непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
- непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя."
пособие ежегодный письменный принадлежность литература;"отсутствие у гражданина права на предоставление мер социальной поддержки;
- представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."
пособие ежегодный письменный принадлежность литература;"не более 28 рабочих дней.

Принятие решения о предоставлении ежегодного пособия на приобретение учебной литературы и письменных принадлежностей администрацией района - в течение 10 рабочих дней со дня получения документов.
В случае обнаружения обстоятельств или документов, опровергающих достоверность сведений, представленных в подтверждение права на предоставление ежегодного пособия, или необходимости проведения проверки срок принятия решения о предоставлении ежегодного пособия или об отказе в ее предоставлении продлевается на 10рабочих дней.
Администрация района информирует заявителя о принятом решении в течение 5 рабочих дней со дня принятия решения, а также направляет решение о предоставлении государственной услуги и электронное дело заявителя в СПб ГКУ ""Городской информационно-расчетный центр"".
При предоставлении государственной услуги посредством МФЦ срок предоставления государственной услуги увеличивается на срок, необходимый для передачи документов в МФЦ для выдачи результата предоставления государственной услуги заявителю, - до трех рабочих дней со дня принятия решения о предоставлении (отказе в предоставлении) государственной услуги (в случае передачи результата в МФЦ на бумажном носителе при отсутствии технической возможности направления результата в виде электронного документа)."
пособие ежегодный письменный принадлежность литература;"пинятие решения администрации района о предоставлении ежегодного пособия на приобретение учебной литературы и письменных принадлежностей и уведомление заявителя.
- принятие решения администрации района об отказе в предоставлении ежегодного пособия на приобретение учебной литературы и письменных принадлежностей .

Результат предоставления государственной услуги учитывается в АИС ЭСРН."
место ребёнок проезд жительство обратно;"Заявителями являются граждане Российской Федерации, обучающиеся по очной форме обучения в государственных образовательных организациях, реализующих основные образовательные программы, находящихся в ведении исполнительного органа государственной власти Санкт-Петербурга, из числа:
- дети-сироты,
дети-сироты - граждане в возрасте до 18 лет, у которых умерли оба или единственный родитель
- дети, оставшиеся без попечения родителей,
дети, оставшиеся без попечения родителей, - граждане в возрасте до 18 лет, которые остались без попечения единственного родителя или обоих родителей в связи с лишением их родительских прав, ограничением их в родительских правах, признанием родителей безвестно отсутствующими, недееспособными (ограниченно дееспособными), объявлением их умершими, установлением судом факта утраты лицом попечения родителей, отбыванием родителями наказания в учреждениях, исполняющих наказание в виде лишения свободы, нахождением родителей в местах содержания под стражей подозреваемых и обвиняемых в совершении преступлений, уклонением родителей от воспитания своих детей или от защиты их прав и интересов, отказом родителей взять своих детей из образовательных организаций, медицинских организаций, организаций, оказывающих социальные услуги, а также в случае, если единственный родитель или оба родителя неизвестны, в иных случаях признания детей оставшимися без попечения родителей в установленном законом порядке
- лица из числа детей-сирот и детей, оставшихся без попечения родителей,
лица из числа детей-сирот и детей, оставшихся без попечения родителей, - граждане в возрасте от 18 до 23 лет, у которых, когда они находились в возрасте до 18 лет, умерли оба или единственный родитель, а также которые остались без попечения обоих или единственного родителя и имеют в соответствии с действующим законодательством право на дополнительные гарантии по социальной поддержке
-лица, потерявшие в период обучения обоих или единственного родителя
лица, потерявшие в период обучения обоих родителей или единственного родителя, - лица в возрасте от 18 до 23 лет, у которых в период их обучения по основным профессиональным образовательным программам и(или) по программам профессиональной подготовки по профессиям рабочих, должностям служащих умерли оба родителя или единственный родитель"
место ребёнок проезд жительство обратно;"Денежная компенсация расходов на проезд к месту жительства и обратно к месту учебы за счет средств бюджета СПб осуществляется один раз в год.
"
место ребёнок проезд жительство обратно;"Денежная компенсация предоставляется в пределах следующих норм расходов на обеспечение проезда к месту жительства и обратно:
железнодорожным транспортом - поездами дальнего следования в плацкартных вагонах или купейных вагонах в поездах любой категории, поездами пригородного сообщения;
воздушным транспортом - самолетами в салоне экономического класса;
морским транспортом - на местах IV категории кают судов транспортных линий;
водным транспортом - на местах III категории кают судов транспортных маршрутов;
автомобильным транспортом - автобусами по маршрутам регулярных перевозок в городском, пригородном и междугородном сообщении."
место ребёнок проезд жительство обратно;"1 Свидетельство о рождении ребенка, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык. и
Документ, удостоверяющий личность получателя услуги в возрасте старше 14 лет (паспорт гражданина РФ или временное удостоверение личности, выданное на период его замены). 2.Документы, подтверждающие, что обучающийся принадлежит к категории детей-сирот или детей, оставшихся без попечения родителей, или лиц из числа детей-сирот и детей, оставшихся без попечения родителей:
- вступившее в законную силу решение суда о лишении (ограничении) родителей родительских прав;
- вступившее в законную силу решение суда о признании родителей безвестно отсутствующими (умершими);
- вступившее в законную силу решение суда о признании родителей недееспособными (ограниченно дееспособными);
- вступившее в законную силу решение суда об установлении факта отсутствия родительского попечения над ребенком;
- письменное согласие матери и (или) отца ребенка на усыновление (удочерение);
- вступивший в законную силу приговор суда о назначении наказания матери (отцу) ребенка в виде лишения свободы;
- вступившее в законную силу постановление судьи об избрании меры пресечения матери (отцу) ребенка в виде заключения под стражу;
- вступившее в законную силу постановление суда о принудительном лечении матери и (или) отца ребенка в медицинской организации, оказывающей психиатрическую помощь в стационарных условиях;
- свидетельство о рождении, не содержащее сведений о матери и (или) отце ребенка, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык;
- справка о рождении, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка, выданная компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык;
- свидетельство о смерти матери и (или) отца, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык. 3.  Проездной документ, подтверждающий расходы на проезд, в том числе электронные билеты и контрольные купоны электронных билетов (если на проездном документе не указана его цена, к проездному документу прилагается чек или квитанция, подтверждающие его стоимость). 4. Справка об обучении по очной форме обучения в государственной образовательной организации, реализующей образовательные программы высшего образования, профессионального обучения. 5.Документ, которым может быть удостоверено наличие у детей-сирот и детей, оставшихся без попечения родителей, гражданства Российской Федерации, до оформления наличия гражданства Российской Федерации (уведомление о возможности приема в гражданство Российской Федерации, форма которого утверждена приложением № 10 к Положению о порядке рассмотрения вопросов гражданства Российской Федерации, утвержденному Указом Президента РФ от 14.11.2002 № 1325 «Об утверждении Положения о порядке рассмотрения вопросов гражданства Российской Федерации»). "
место ребёнок проезд жительство обратно;"документ, удостоверяющий законного представителя (представителя) (паспорт гражданина Российской Федерации или временное удостоверение личности, выданное на период его замены, паспорт иностранного гражданина, вид на жительство, удостоверение беженца).
 Документ, подтверждающий полномочия законного представителя (представителя):
- документ, содержащий сведения об установлении опеки и попечительства в отношении ребенка - за исключением документов, выданных на территории Российской Федерации.
  В случае представления документов представителем:
- Доверенность, оформленная в соответствии с действующим законодательством РФ, в том числе в простой письменной форме, подтверждающая наличие у представителя прав действовать от лица заявителя и определяющая условия и границы реализации права на получение государственной услуги."
место ребёнок проезд жительство обратно;"непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
- непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя.
"
место ребёнок проезд жительство обратно;"отсутствие у заявителя права на предоставление государственной услуги;
- представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя.
"
место ребёнок проезд жительство обратно;"решение о предоставлении денежной компенсации расходов на проезд к месту жительства и обратно к месту учебы;
- решение об отказе в предоставлении денежной компенсации расходов на проезд к месту жительства и обратно к месту учебы."
место ребёнок проезд жительство обратно;"Решение о назначении (об отказе) в назначении возмещения расходов принимается в течение 10 рабочих дней со дня подачи заявления и документов, в случае если указанные документы не требуют проверки содержащихся в них сведений.
В случае обнаружения обстоятельств или документов, опровергающих достоверность сведений, представленных в подтверждение права на предоставление меры поддержки, или необходимости проведения проверки срок принятия решения продлевается на 10 рабочих дней.
О принятом решении администрация района информирует заявителя в течение пяти рабочих дней со дня принятия решения."
отдых сирота лечение место ребёнок;"
Мера социальной поддержки в виде обеспечения проезда за счет средств бюджета Санкт-Петербурга в размере полной стоимости проезда к месту лечения и обратно предоставляется без ограничения количества поездок при наличии медицинских показаний.

Дополнительная мера социальной поддержки по обеспечению проезда к месту отдыха и обратно за счет средств бюджета Санкт-Петербурга предоставляется один раз в год.
"
отдых сирота лечение место ребёнок;"Денежная компенсация предоставляется в пределах следующих норм расходов на обеспечение проезда к месту лечения и обратно:
железнодорожным транспортом - поездами дальнего следования в плацкартных вагонах или купейных вагонах в поездах любой категории, поездами пригородного сообщения;
воздушным транспортом - самолетами в салоне экономического класса;
морским транспортом - на местах IV категории кают судов транспортных линий;
водным транспортом - на местах III категории кают судов транспортных маршрутов;
автомобильным транспортом - автобусами по маршрутам регулярных перевозок в городском, пригородном и междугородном сообщении."
